Institution,order,metrics,id_downloaded,link,type,name,uri,countryCode,region,sector,id,country,book_downloaded_2012,book_downloaded_2013,book_downloaded_2014,book_downloaded_2015,book_downloaded_2016,patent_downloaded_2012,patent_downloaded_2013,patent_downloaded_2014,patent_downloaded_2015,patent_downloaded_2016
Harvard University,0,1.0,1.0,https://api.elsevier.com/metrics/institution/508076,application/json,Harvard University,Institution/508076,usa,NAM,academic,508076.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stanford University,1,1.0,1.0,https://api.elsevier.com/metrics/institution/508219,application/json,Stanford University,Institution/508219,usa,NAM,academic,508219.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Cambridge,2,1.0,1.0,https://api.elsevier.com/metrics/institution/315068,application/json,University of Cambridge,Institution/315068,gbr,EUR,academic,315068.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Massachusetts Institute of Technology,3,1.0,1.0,https://api.elsevier.com/metrics/institution/508111,application/json,Massachusetts Institute of Technology,Institution/508111,usa,NAM,academic,508111.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of California at Berkeley,4,1.0,1.0,https://api.elsevier.com/metrics/institution/508259,application/json,University of California at Berkeley,Institution/508259,usa,NAM,academic,508259.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Columbia University,5,1.0,1.0,https://api.elsevier.com/metrics/institution/508046,application/json,Columbia University,Institution/508046,usa,NAM,academic,508046.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Princeton University,6,1.0,1.0,https://api.elsevier.com/metrics/institution/508191,application/json,Princeton University,Institution/508191,usa,NAM,academic,508191.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Oxford,7,1.0,1.0,https://api.elsevier.com/metrics/institution/315091,application/json,University of Oxford,Institution/315091,gbr,EUR,academic,315091.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Toronto,8,1.0,1.0,https://api.elsevier.com/metrics/institution/501048,application/json,University of Toronto,Institution/501048,can,NAM,academic,501048.0,Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Johns Hopkins University,9,1.0,1.0,https://api.elsevier.com/metrics/institution/508094,application/json,Johns Hopkins University,Institution/508094,usa,NAM,academic,508094.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Chicago,10,1.0,1.0,https://api.elsevier.com/metrics/institution/508270,application/json,University of Chicago,Institution/508270,usa,NAM,academic,508270.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yale University,11,1.0,1.0,https://api.elsevier.com/metrics/institution/508383,application/json,Yale University,Institution/508383,usa,NAM,academic,508383.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Pennsylvania,12,1.0,1.0,https://api.elsevier.com/metrics/institution/508331,application/json,University of Pennsylvania,Institution/508331,usa,NAM,academic,508331.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Washington,13,1.0,1.0,https://api.elsevier.com/metrics/institution/508358,application/json,University of Washington,Institution/508358,usa,NAM,academic,508358.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cornell University,14,1.0,1.0,https://api.elsevier.com/metrics/institution/508047,application/json,Cornell University,Institution/508047,usa,NAM,academic,508047.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University College London,15,1.0,1.0,https://api.elsevier.com/metrics/institution/315061,application/json,University College London,Institution/315061,gbr,EUR,academic,315061.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
